神器名,アイテム説明,使用方法,使用回数,MP消費量,MP必要量,消費アイテム,CT,グローバルCT,対応信仰神
エンジェルレイ レベル5,聖霊のオーラに満ちた強烈な光芒を前方に放ち、対象にダメージを与え、味方は回復させる。[詳細]対象:攻撃が命中すると439.2の魔法ダメージを与える。味方:体力を28.3回復する。,右クリック,None,30,None,None,600,None,フローラ ニャプトフ ウィ=キ ルーモア
無限食糧,無限に食べられる食料！食料不足はこれで解決！（腐ってなかったらいいのになぁ）,アイテムを使用,1,20,0,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
とんぼがえり,攻撃したあと ものすごい スピードで最初の島に もどっていく。,装備しEntityを近接攻撃,10,99999,100,None,None,None,フローラ アーバン ニャプトフ
すっぱだカーニバル,先祖を思い出せ,装備し被ダメージ,None,0,None,None,40,None,アーバン ウィ=キ ルーモア
チェストそのまま回収君,丁寧丁寧丁寧に,右クリック,None,50,None,None,None,None,アーバン ニャプトフ ウィ=キ ルーモア
コール: エレメンタル・ファミリア,魔法攻撃を行う眷属を3体召喚する。既に召喚した状態では使用できない。\\,右クリック,None,100,None,None,600,None,ニャプトフ ウィ=キ ルーモア
霊界トランス,10秒間、スペクテイターモードにする10秒後、使用地点に帰還,右クリック,None,100,None,None,None,None,ニャプトフ ウィ=キ ルーモア
爆炎の剣,炎を纏った剣。 敵に強力な物理火属性ダメージを与える,装備しEntityを近接攻撃,None,10,None,None,8,None,アーバン ニャプトフ
荒波の剣,水流を纏った剣。 敵に強力な物理水属性ダメージを与える,装備しEntityを近接攻撃,None,10,None,None,8,None,フローラ アーバン
神雷の剣,電気を纏った剣。 敵に強力な物理雷属性ダメージを与える,装備しEntityを近接攻撃,None,10,None,None,8,None,フローラ アーバン ニャプトフ ルーモア
熱血ツルハシ,燃え上がる熱意を感じる。幾多ものマインソウルが刻まれているようだ,装備しEntityを近接攻撃,None,30,None,None,60,None,アーバン ニャプトフ ルーモア
バーンソーサリー,火炎の術式を宿した杖。敵に強力な魔法火属性ダメージを与える,右クリック,None,43,None,None,40,None,アーバン ニャプトフ ルーモア
アイスソーサリー,氷の術式を宿した杖。敵に強力な魔法水属性ダメージを与える,右クリック,None,12,None,None,20,None,フローラ ウィ=キ
レイソーサリー,電気の術式を宿した杖。敵に強力な魔法雷属性ダメージを与える,右クリック,None,18,None,None,20,None,フローラ ニャプトフ ウィ=キ ルーモア
ミラクルロッド,夢想的な魔法の媒介になる杖。敵にやや強力な魔法無属性ダメージを与える,右クリック,None,50,None,None,60,None,フローラ ニャプトフ ウィ=キ ルーモア
カニの味噌汁,かにのみぞしるお味。,アイテムを使用,1,10,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ ルーモア
4・5・6ダイス,4・5・6しか出ない変なサイコロ。サイコロは近くの敵1体に火 水 雷属性の攻撃を行う。攻撃回数は出目によって変わる。\\,右クリック,None,12,None,None,14,None,フローラ ウィ=キ ルーモア
無限増殖,世界を埋め尽くすことも不可能ではない。,右クリック,None,0,None,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
۞ソリタリネス۞,孤独が唯一の友人だった。,装備しEntityを近接攻撃,None,5,None,None,None,None,フローラ ニャプトフ ウィ=キ
۞ソリタリネス۞,孤独が唯一の友人だった。,装備しEntityを近接攻撃,None,5,None,None,5,None,フローラ ニャプトフ ウィ=キ
۞ソリタリネス۞,孤独が唯一の友人だった。,装備しEntityを近接攻撃,None,5,None,None,None,None,フローラ ニャプトフ ウィ=キ
۞ソリタリネス۞,孤独が唯一の友人だった。,装備しEntityを近接攻撃,None,5,None,None,None,None,フローラ ニャプトフ ウィ=キ
コール:フィッシュ,攻撃的な魚を召喚する「えーっと...なんなのこれ...」,右クリック,None,60,None,None,20,None,ニャプトフ ウィ=キ ルーモア
[CENSORED],この[CENSORED]は[CENSORED]だけで[CENSORED]しまいそうになる。[CENSORED]は[CENSORED]できるようだ。ただ、[CENSORED]であるなら[CENSORED]しかないが。,装備しEntityを近接攻撃,None,20,None,None,20,None,アーバン ニャプトフ
雷鳴,雷耐性+4%セット効果で特殊な能力を得る,装備,None,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ
雷鳴,雷耐性+4%セット効果で特殊な能力を得るセット効果発動時、雷耐性+9%,装備,None,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ
雷鳴,雷耐性+4%セット効果で特殊な能力を得る,装備,None,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ
雷鳴,雷耐性+4%セット効果で特殊な能力を得る,装備,None,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ
ソーンヘルメット,荊の鎧を全て纒いし時、血吸いの荊が目を覚ます水耐性+5% 雷耐性+5%,装備,None,0,None,None,None,None,フローラ アーバン ウィ=キ
ソーンアーマー,荊の鎧を全て纒いし時、血吸いの荊が目を覚ます水耐性+5% 雷耐性+5%,装備,None,0,None,None,None,None,フローラ アーバン ウィ=キ
ソーンレギンス,荊の鎧を全て纒いし時、血吸いの荊が目を覚ます水耐性+5% 雷耐性+5%,装備,None,0,None,None,None,None,フローラ アーバン ウィ=キ
ソーンブーツ,荊の鎧を全て纒いし時、血吸いの荊が目を覚ます水耐性+5% 雷耐性+5%,装備,None,0,None,None,None,None,フローラ アーバン ウィ=キ
オーロラブレード,オーロラの刃を持つ剣天使に対して攻撃したとき、ダメージが1.5倍になる,装備しEntityを近接攻撃,None,11,None,None,20,None,フローラ アーバン ルーモア
魔導士の帽子,魔導士が普段身に着けている帽子魔法耐性+5% 魔法攻撃+5%MP回復量+5%物理耐性-5% 物理攻撃-5%,装備,None,0,None,None,None,None,フローラ ニャプトフ ウィ=キ ルーモア
魔導士のローブ(上),魔導士が普段身に着けているローブ魔法耐性+5% 魔法攻撃+5%MP回復量+5%物理耐性-5% 物理攻撃-5%,装備,None,0,None,None,None,None,フローラ ニャプトフ ウィ=キ ルーモア
魔導士のローブ(下),魔導士が普段身に着けているローブ魔法耐性+5% 魔法攻撃+5%MP回復量+5%物理耐性-5% 物理攻撃-5%,装備,None,0,None,None,None,None,フローラ ニャプトフ ウィ=キ ルーモア
魔導士の靴,魔導士が普段身に着けている靴魔法耐性+5% 魔法攻撃+5%MP回復量+5%物理耐性-5% 物理攻撃-5%,装備,None,0,None,None,None,None,フローラ ニャプトフ ウィ=キ ルーモア
百分一剣,生ける者全てを平等に斬ることが出来る剣攻撃時、対象に最大体力の40%の割合ダメージを与える天使には1%分のダメージを与える,装備しEntityを近接攻撃,None,30,None,None,None,100,フローラ アーバン ニャプトフ ルーモア
コリジョンプレート,防御力で攻撃する剣防御は最大の攻撃である！,装備しEntityを近接攻撃,None,15,None,None,15,None,アーバン ニャプトフ ルーモア
風巻之刀,攻撃対象を吹き飛ばす刀自身の速度で吹き飛ばす距離とダメージが強化される,装備しEntityを近接攻撃,None,14,None,None,24,None,フローラ アーバン ルーモア
翡翠の鎧,美しい渓流で取れた翡翠で作られた鎧装着者は水の加護を得る水耐性+5% 水攻撃+5% MP回復量+4% 雷耐性-5%,装備,None,0,None,None,None,None,フローラ ニャプトフ ルーモア
翡翠の鎧,美しい渓流で取れた翡翠で作られた鎧装着者は水の加護を得る水耐性+5% 水攻撃+5% MP回復量+4% 雷耐性-5%,装備,None,0,None,None,None,None,フローラ ニャプトフ ルーモア
閉じた恋の瞳,頭上の敵を無意識の内に攻撃する。,装備している限り,None,45,None,None,300,None,フローラ ニャプトフ ウィ=キ ルーモア
UNI,UNIは棘皮動物に属す、ヒトデやなまこの仲間コンブを主食とし、餌を食べて身を太らせるまた、このUNIは棘を発射し、身を守る習性がある棘がなくなってもコンブを食べれば再生する。,右クリック,50,1,None,None,0,None,フローラ アーバン ニャプトフ
雷のブローチ,攻撃を与えたとき、対象に現在体力に依存した割合攻撃を追加で与える,装備しEntityを近接攻撃,60,20,None,None,100,None,フローラ アーバン ウィ=キ ルーモア
疾風のペンダント,風の力を蓄えたペンダント付けると体が軽くなる,装備,None,0,None,None,None,None,フローラ ニャプトフ
転移の書,自分を転移させる弾を発射する発動中にもう一度神器を使うと転移できる,右クリック,None,50,None,None,90,None,ウィ=キ ルーモア
リアクティブアーマー(頭),爆発によりダメージを軽減する鎧ただし爆発は自分以外の周囲を巻き込む,装備し被攻撃ダメージ,,30,,,900,,アーバン ルーモア
リアクティブアーマー(胴),爆発によりダメージを軽減する鎧ただし爆発は自分以外の周囲を巻き込む,装備し被攻撃ダメージ,,30,,,900,,アーバン ルーモア
リアクティブアーマー(足),爆発によりダメージを軽減する鎧ただし爆発は自分以外の周囲を巻き込む,装備し被攻撃ダメージ,,30,,,900,,アーバン ルーモア
リアクティブアーマー(靴),爆発によりダメージを軽減する鎧ただし爆発は自分以外の周囲を巻き込む,装備し被攻撃ダメージ,,30,,,900,,アーバン ルーモア
炎を追う狩人の帽子,2部位装備:火耐性+10% 火攻撃+10% 水耐性-10% 移動速度+5%4部位装備:火耐性+15% 火攻撃+15% 水耐性-10% 移動速度+10%「森で緑を纏い、狩りをする者がいた。その者は獣を必要な数だけ狩り暮らしていた。」,装備,None,0,None,None,None,None,アーバン ニャプトフ ルーモア
炎を追う狩人の狩猟服(上),2部位装備:火耐性+10% 火攻撃+10% 水耐性-10% 移動速度+5%4部位装備:火耐性+15% 火攻撃+15% 水耐性-10% 移動速度+10%「ある時、その者は森が燃えているのを見た。その炎を追い、狩人は獣を炎から守った。」,装備,None,0,None,None,None,None,アーバン ニャプトフ ルーモア
炎を追う狩人の狩猟服(下),2部位装備:火耐性+10% 火攻撃+10% 水耐性-10% 移動速度+5%4部位装備:火耐性+15% 火攻撃+15% 水耐性-10% 移動速度+10%「その炎を辿り、緑が消えた場所を見つけ、そこで狩人は炎の原因を悟った。」,装備,None,0,None,None,None,None,アーバン ニャプトフ ルーモア
炎を追う狩人の靴,2部位装備:火耐性+10% 火攻撃+10% 水耐性-10% 移動速度+5%4部位装備:火耐性+15% 火攻撃+15% 水耐性-10% 移動速度+10%「狩人は炎の原因を狩った。そして彼は怨嗟の炎の一部となった。」,装備,None,0,None,None,None,None,アーバン ニャプトフ ルーモア
ダル・イ・サリオン,それを履く者に不浄を避け並外れた速度を与える力を与える,装備し被ダメージ,None,0,None,None,90,None,フローラ ニャプトフ ルーモア
Equal Speed Charlie London,装備時移動速度が上昇する。,装備,,0,,,,,フローラ アーバン ニャプトフ ウィ=キ ルーモア
