神器名,アイテム説明,使用方法,使用回数,MP消費量,MP必要量,消費アイテム,CT,グローバルCT,対応信仰神
起床ラッパ,朝を知らせるラッパ。この音色を聞いたら活動を始めなければならない。,右クリック,None,5,None,None,None,200,アーバン ウィ=キ ルーモア
烈火の剣,炎を纏った剣。 敵にやや強力な物理火属性ダメージを与える,装備しEntityを近接攻撃,None,7,None,None,8,None,フローラ アーバン ニャプトフ ルーモア
激流の剣,水流を纏った剣。 敵にやや強力な物理水属性ダメージを与える,装備しEntityを近接攻撃,None,7,None,None,8,None,フローラ ニャプトフ ウィ=キ ルーモア
迅雷の剣,電気を纏った剣。 敵にやや強力な物理雷属性ダメージを与える,装備しEntityを近接攻撃,None,10,None,None,7,None,フローラ アーバン ウィ=キ ルーモア
引き寄せフックショット,ヒットした敵を使用者の手前までテレポートさせる。,,None,20,None,None,None,None,フローラ ニャプトフ ウィ=キ
近接フックショット,ヒットした敵の元へテレポートする,,None,40,None,None,None,None,フローラ ニャプトフ ウィ=キ
スーパードラゴンの呼び鈴,どっかで見た白いドラゴンを呼び出す呼び鈴。「着地時に乗り捨ては申し訳ないがNG」,右クリック,100,30,None,None,60,None,アーバン ニャプトフ ウィ=キ
我が下に集え,周囲のモブ及びプレイヤーを自分の下に召集する。,右クリック,5,50,None,None,None,None,アーバン ウィ=キ
たる,周囲の敵にたるを落下させるた〜る！,右クリック,100,20,None,None,10,None,アーバン ウィ=キ ルーモア
サイフォジオ,斬りつけた生物のHPを回復する。,装備しEntityを近接攻撃,None,20,None,None,None,None,フローラ ウィ=キ ルーモア
ファイヤーマジック,炎の術式を宿した杖。敵にやや協力な魔法火属性ダメージを与える,右クリック,None,13,None,None,20,None,フローラ アーバン ニャプトフ ルーモア
ウォーターマジック,波の術式を宿した杖。敵にやや強力な魔法水属性ダメージを与える,右クリック,None,50,None,None,25,None,フローラ ニャプトフ ウィ=キ ルーモア
サンダーマジック,電気の術式を宿した杖。敵にやや強力魔法雷属性ダメージを与える,右クリック,None,11,None,None,15,None,フローラ アーバン ニャプトフ ウィ=キ
階層昇華の羽,自分の真上のブロック上にテレポートする事ができる羽,右クリック,10,20,None,None,200,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
瞬獄殺,周囲10M以内の体力が20以下の敵にダメージを与える「我こそ、拳を極めし者」軽減貫通 20ダメージ,装備している限り,None,"10",None,None,100,None,アーバン ウィ=キ
イシキリチェンソー,前方の敵全体を切り刻む石切台チェンソー魔力を注ぎ込みエンジンをふかせ,右クリック,1800,1,None,None,None,None,アーバン ウィ=キ ルーモア
ハートランド,大地の加護を得た衣喜ばしき芽生え。,装備,None,20,None,None,None,None,フローラ ニャプトフ ルーモア
ハートランド,大地の加護を得た衣豊穣はここに。,装備している限り,None,0,None,None,None,None,フローラ ニャプトフ ルーモア
ハートランド,大地の加護を得た衣駆け出すものに祝福を。,装備している限り,None,0,None,None,None,None,フローラ ニャプトフ ルーモア
U&W-06,とある神が協力をして作り上げた神器 しかし、お互い馬が合わなかったのか 少し歪な性能をしている 再利用可能な工夫がされている,右クリック,6,0,None,None,None,None,アーバン ニャプトフ
フレイムヘルム,火耐性+3%,装備,None,0,None,None,None,None,フローラ アーバン ニャプトフ ルーモア
フレイムアーマー,火耐性+3%一式全て揃えた場合、追加で火耐性+3%,装備,None,0,None,None,None,None,フローラ アーバン ニャプトフ ルーモア
フレイムレギンス,火耐性+3%,装備,None,0,None,None,None,None,フローラ アーバン ニャプトフ ルーモア
フレイムブーツ,火耐性+3%,装備,None,0,None,None,None,None,フローラ アーバン ニャプトフ ルーモア
アイスヘルム,水耐性+3%,装備,None,0,None,None,None,None,フローラ アーバン ウィ=キ ルーモア
アイスアーマー,水耐性+3%一式全て揃えた場合、追加で水耐性+3%,装備,None,0,None,None,None,None,フローラ アーバン ウィ=キ ルーモア
アイスレギンス,水耐性+3%,装備,None,0,None,None,None,None,フローラ アーバン ウィ=キ ルーモア
アイスブーツ,水耐性+3%,装備,None,0,None,None,None,None,フローラ アーバン ウィ=キ ルーモア
エレキヘルム,雷耐性+3%,装備,None,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ
エレキアーマー,雷耐性+3%一式全て揃えた場合、追加で雷耐性+3%,装備,None,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ
エレキレギンス,雷耐性+3%,装備,None,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ
エレキブーツ,雷耐性+3%,装備,None,0,None,None,None,None,フローラ アーバン ニャプトフ ウィ=キ
魔法使いの帽子,魔法属性攻撃力+5% 魔法耐性+2.5% MP回復量+5%,装備,None,0,None,None,None,None,フローラ ニャプトフ ウィ=キ
魔法使いのローブ(上),魔法属性攻撃力+5% 魔法耐性+2.5% MP回復量+5%,装備,None,0,None,None,None,None,フローラ ニャプトフ ウィ=キ
魔法使いのローブ(下),魔法属性攻撃力+5% 魔法耐性+2.5% MP回復量+5%,装備,None,0,None,None,None,None,フローラ ニャプトフ ウィ=キ
魔法使いの靴,魔法属性攻撃力+5% 魔法耐性+2.5% MP回復量+5%,装備,None,0,None,None,None,None,フローラ ニャプトフ ウィ=キ
重鋼の鎧,とても硬くて重い鎧,装備,None,0,None,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
重鋼の鎧,とても硬くて重い鎧,装備,None,0,None,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
重鋼の鎧,とても硬くて重い鎧,装備,None,0,None,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
重鋼の鎧,とても硬くて重い鎧,装備,None,0,None,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
ネズミの足,被ダメージ時に3秒間移動速度上昇を得る臆病なネズミの足 叩かないで！,装備し被攻撃ダメージ,None,2,None,None,None,None,フローラ ニャプトフ ウィ=キ
